,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
3841,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,HANDLING ERRORS,1
3842,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,HANDLING ERRORS,0
3843,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,HANDLING ERRORS,6
3844,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,HANDLING ERRORS,3
3845,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,HANDLING ERRORS,4
3846,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,HANDLING ERRORS,10
3847,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,HANDLING ERRORS,0
3848,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,HANDLING ERRORS,0
3849,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,HANDLING ERRORS,0
3850,Andrew Conway,Back,Ireland,Wing,30,27,Munster,HANDLING ERRORS,1
3851,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,HANDLING ERRORS,2
3852,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,HANDLING ERRORS,1
3853,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,HANDLING ERRORS,0
3854,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,HANDLING ERRORS,3
3855,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,HANDLING ERRORS,10
3856,Ben Carter,Forward,Wales,Lock,21,5, Dragons,HANDLING ERRORS,0
3857,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,HANDLING ERRORS,0
3858,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,HANDLING ERRORS,2
3859,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,HANDLING ERRORS,3
3860,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,HANDLING ERRORS,7
3861,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,HANDLING ERRORS,1
3862,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,HANDLING ERRORS,0
3863,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,HANDLING ERRORS,2
3864,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,HANDLING ERRORS,7
3865,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,HANDLING ERRORS,4
3866,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,HANDLING ERRORS,1
3867,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,HANDLING ERRORS,0
3868,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,HANDLING ERRORS,2
3869,Charlie Ewels,Forward,England,Lock,26,26,Bath,HANDLING ERRORS,1
3870,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,HANDLING ERRORS,0
3871,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,HANDLING ERRORS,5
3872,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,HANDLING ERRORS,1
3873,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,HANDLING ERRORS,4
3874,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,HANDLING ERRORS,0
3875,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,HANDLING ERRORS,1
3876,Cyril Baille,Forward,France,Prop,28,31, Toulouse,HANDLING ERRORS,1
3877,Damian Penaud,Back,France,Wing,25,28, Clermont,HANDLING ERRORS,4
3878,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,HANDLING ERRORS,10
3879,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,HANDLING ERRORS,1
3880,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,HANDLING ERRORS,0
3881,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,HANDLING ERRORS,2
3882,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,HANDLING ERRORS,0
3883,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,HANDLING ERRORS,1
3884,Demba Bamba,Forward,France,Prop,23,20, Lyon,HANDLING ERRORS,1
3885,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,HANDLING ERRORS,2
3886,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,HANDLING ERRORS,0
3887,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,HANDLING ERRORS,1
3888,Dylan Cretin,Forward,France,Back row,24,13, Lyon,HANDLING ERRORS,1
3889,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,HANDLING ERRORS,0
3890,Elliot Daly,Back,England,Wing,29,52,Saracens,HANDLING ERRORS,3
3891,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,HANDLING ERRORS,4
3892,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,HANDLING ERRORS,1
3893,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,HANDLING ERRORS,0
3894,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,HANDLING ERRORS,2
3895,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,HANDLING ERRORS,0
3896,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,HANDLING ERRORS,8
3897,Francois Cros,Forward,France,Back row,27,11, Toulouse,HANDLING ERRORS,1
3898,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,HANDLING ERRORS,0
3899,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,HANDLING ERRORS,2
3900,Gabin Villiere,Back,France,Wing,26,8, Toulon,HANDLING ERRORS,4
3901,Gael Fickou,Back,France,Centre,27,66, Racing 92,HANDLING ERRORS,4
3902,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,HANDLING ERRORS,0
3903,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,HANDLING ERRORS,2
3904,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,HANDLING ERRORS,1
3905,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,HANDLING ERRORS,5
3906,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,HANDLING ERRORS,0
3907,George Furbank,Back,England,Fullback,25,5,Northampton Saints,HANDLING ERRORS,0
3908,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,HANDLING ERRORS,0
3909,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,HANDLING ERRORS,0
3910,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,HANDLING ERRORS,0
3911,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,HANDLING ERRORS,0
3912,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,HANDLING ERRORS,2
3913,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,HANDLING ERRORS,6
3914,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,HANDLING ERRORS,6
3915,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,HANDLING ERRORS,0
3916,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,HANDLING ERRORS,2
3917,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,HANDLING ERRORS,3
3918,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,HANDLING ERRORS,4
3919,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,HANDLING ERRORS,2
3920,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,HANDLING ERRORS,5
3921,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,HANDLING ERRORS,1
3922,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,HANDLING ERRORS,0
3923,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,HANDLING ERRORS,1
3924,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,HANDLING ERRORS,0
3925,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,HANDLING ERRORS,1
3926,James Hume,Back,Ireland,Centre,23,1,Ulster,HANDLING ERRORS,1
3927,James Lowe,Back,Ireland,Wing,29,10,Leinster,HANDLING ERRORS,8
3928,James Ryan,Forward,Ireland,Lock,25,40,Leinster,HANDLING ERRORS,1
3929,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,HANDLING ERRORS,0
3930,Jamie George,Back,England,Hooker,31,61,Saracens,HANDLING ERRORS,0
3931,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,HANDLING ERRORS,0
3932,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,HANDLING ERRORS,0
3933,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,HANDLING ERRORS,11
3934,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,HANDLING ERRORS,1
3935,Joe Launchbury,Forward,England,Lock,30,69,Wasps,HANDLING ERRORS,0
3936,Joe Marchant,Back,England,Centre,25,7,Harlequins,HANDLING ERRORS,3
3937,Joe Marler,Forward,England,Prop,31,74,Harlequins,HANDLING ERRORS,0
3938,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,HANDLING ERRORS,2
3939,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,HANDLING ERRORS,4
3940,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,HANDLING ERRORS,7
3941,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,HANDLING ERRORS,7
3942,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,HANDLING ERRORS,0
3943,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,HANDLING ERRORS,2
3944,Josh Adams,Back,Wales,Wing,26,35, Cardiff,HANDLING ERRORS,4
3945,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,HANDLING ERRORS,0
3946,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,HANDLING ERRORS,0
3947,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,HANDLING ERRORS,4
3948,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,HANDLING ERRORS,2
3949,Julien Marchand,Back,France,Hooker,26,16, Toulouse,HANDLING ERRORS,2
3950,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,HANDLING ERRORS,4
3951,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,HANDLING ERRORS,1
3952,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,HANDLING ERRORS,0
3953,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,HANDLING ERRORS,4
3954,Leon Brown,Forward,Wales,Prop,25,16, Dragons,HANDLING ERRORS,1
3955,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,HANDLING ERRORS,2
3956,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,HANDLING ERRORS,0
3957,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,HANDLING ERRORS,4
3958,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,HANDLING ERRORS,4
3959,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,HANDLING ERRORS,0
3960,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,HANDLING ERRORS,3
3961,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,HANDLING ERRORS,1
3962,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,HANDLING ERRORS,1
3963,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,HANDLING ERRORS,1
3964,Marco Zanon,Back,Italy,Centre,24,7, Benetton,HANDLING ERRORS,1
3965,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,HANDLING ERRORS,3
3966,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,HANDLING ERRORS,3
3967,Maro Itoje,Forward,England,Lock,27,51,Saracens,HANDLING ERRORS,5
3968,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,HANDLING ERRORS,1
3969,Matthis Lebel,Back,France,Wing,22,1, Toulouse,HANDLING ERRORS,0
3970,Max Malins,Back,England,Fullback,25,10,Saracens,HANDLING ERRORS,5
3971,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,HANDLING ERRORS,0
3972,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,HANDLING ERRORS,3
3973,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,HANDLING ERRORS,1
3974,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,HANDLING ERRORS,1
3975,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,HANDLING ERRORS,1
3976,Monty Ioane,Back,Italy,Wing,27,9, Benetton,HANDLING ERRORS,2
3977,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,HANDLING ERRORS,0
3978,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,HANDLING ERRORS,0
3979,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,HANDLING ERRORS,1
3980,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,HANDLING ERRORS,1
3981,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,HANDLING ERRORS,2
3982,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,HANDLING ERRORS,1
3983,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,HANDLING ERRORS,0
3984,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,HANDLING ERRORS,0
3985,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,HANDLING ERRORS,4
3986,Paul Willemse,Forward,France,Lock,29,19, Montpellier,HANDLING ERRORS,1
3987,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,HANDLING ERRORS,1
3988,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,HANDLING ERRORS,1
3989,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,HANDLING ERRORS,1
3990,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,HANDLING ERRORS,1
3991,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,HANDLING ERRORS,0
3992,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,HANDLING ERRORS,2
3993,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,HANDLING ERRORS,1
3994,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,HANDLING ERRORS,11
3995,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,HANDLING ERRORS,2
3996,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,HANDLING ERRORS,0
3997,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,HANDLING ERRORS,3
3998,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,HANDLING ERRORS,0
3999,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,HANDLING ERRORS,2
4000,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,HANDLING ERRORS,1
4001,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,HANDLING ERRORS,1
4002,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,HANDLING ERRORS,1
4003,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,HANDLING ERRORS,2
4004,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,HANDLING ERRORS,1
4005,Sam Underhill,Forward,England,Back row,25,27,Bath,HANDLING ERRORS,1
4006,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,HANDLING ERRORS,0
4007,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,HANDLING ERRORS,1
4008,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,HANDLING ERRORS,1
4009,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,HANDLING ERRORS,9
4010,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,HANDLING ERRORS,7
4011,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,HANDLING ERRORS,1
4012,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,HANDLING ERRORS,6
4013,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,HANDLING ERRORS,2
4014,Taine Basham,Forward,Wales,Back row,22,7, Dragons,HANDLING ERRORS,2
4015,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,HANDLING ERRORS,3
4016,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,HANDLING ERRORS,0
4017,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,HANDLING ERRORS,0
4018,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,HANDLING ERRORS,0
4019,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,HANDLING ERRORS,2
4020,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,HANDLING ERRORS,1
4021,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,HANDLING ERRORS,1
4022,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,HANDLING ERRORS,0
4023,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,HANDLING ERRORS,6
4024,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,HANDLING ERRORS,1
4025,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,HANDLING ERRORS,1
4026,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,HANDLING ERRORS,2
4027,Will Stuart,Forward,England,Prop,25,15,Bath,HANDLING ERRORS,0
4028,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,HANDLING ERRORS,0
4029,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,HANDLING ERRORS,3
4030,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,HANDLING ERRORS,4
4031,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,HANDLING ERRORS,0
4032,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,PENS CONCEDED,1
4033,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,PENS CONCEDED,5
4034,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,PENS CONCEDED,0
4035,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,PENS CONCEDED,1
4036,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,PENS CONCEDED,4
4037,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,PENS CONCEDED,1
4038,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,PENS CONCEDED,1
4039,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,PENS CONCEDED,0
4040,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,PENS CONCEDED,0
4041,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,PENS CONCEDED,0
4042,Andrew Conway,Back,Ireland,Wing,30,27,Munster,PENS CONCEDED,2
4043,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,PENS CONCEDED,1
4044,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,PENS CONCEDED,1
4045,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,PENS CONCEDED,1
4046,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,PENS CONCEDED,4
4047,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,PENS CONCEDED,2
4048,Ben Carter,Forward,Wales,Lock,21,5, Dragons,PENS CONCEDED,0
4049,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,PENS CONCEDED,0
4050,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,PENS CONCEDED,1
4051,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,PENS CONCEDED,1
4052,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,PENS CONCEDED,1
4053,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,PENS CONCEDED,2
4054,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,PENS CONCEDED,0
4055,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,PENS CONCEDED,1
4056,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,PENS CONCEDED,4
4057,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,PENS CONCEDED,0
4058,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,PENS CONCEDED,0
4059,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,PENS CONCEDED,0
4060,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,PENS CONCEDED,3
4061,Charlie Ewels,Forward,England,Lock,26,26,Bath,PENS CONCEDED,2
4062,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,PENS CONCEDED,1
4063,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,PENS CONCEDED,2
4064,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,PENS CONCEDED,2
4065,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,PENS CONCEDED,0
4066,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,PENS CONCEDED,1
4067,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,PENS CONCEDED,0
4068,Cyril Baille,Forward,France,Prop,28,31, Toulouse,PENS CONCEDED,2
4069,Damian Penaud,Back,France,Wing,25,28, Clermont,PENS CONCEDED,1
4070,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,PENS CONCEDED,1
4071,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,PENS CONCEDED,1
4072,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,PENS CONCEDED,6
4073,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,PENS CONCEDED,4
4074,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,PENS CONCEDED,3
4075,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,PENS CONCEDED,0
4076,Demba Bamba,Forward,France,Prop,23,20, Lyon,PENS CONCEDED,5
4077,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,PENS CONCEDED,1
4078,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,PENS CONCEDED,3
4079,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,PENS CONCEDED,2
4080,Dylan Cretin,Forward,France,Back row,24,13, Lyon,PENS CONCEDED,0
4081,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,PENS CONCEDED,1
4082,Elliot Daly,Back,England,Wing,29,52,Saracens,PENS CONCEDED,0
4083,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,PENS CONCEDED,8
4084,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,PENS CONCEDED,0
4085,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,PENS CONCEDED,1
4086,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,PENS CONCEDED,4
4087,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,PENS CONCEDED,3
4088,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,PENS CONCEDED,1
4089,Francois Cros,Forward,France,Back row,27,11, Toulouse,PENS CONCEDED,1
4090,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,PENS CONCEDED,0
4091,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,PENS CONCEDED,2
4092,Gabin Villiere,Back,France,Wing,26,8, Toulon,PENS CONCEDED,3
4093,Gael Fickou,Back,France,Centre,27,66, Racing 92,PENS CONCEDED,3
4094,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,PENS CONCEDED,0
4095,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,PENS CONCEDED,0
4096,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,PENS CONCEDED,2
4097,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,PENS CONCEDED,0
4098,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,PENS CONCEDED,1
4099,George Furbank,Back,England,Fullback,25,5,Northampton Saints,PENS CONCEDED,0
4100,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,PENS CONCEDED,5
4101,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,PENS CONCEDED,2
4102,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,PENS CONCEDED,0
4103,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,PENS CONCEDED,1
4104,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,PENS CONCEDED,1
4105,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,PENS CONCEDED,5
4106,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,PENS CONCEDED,6
4107,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,PENS CONCEDED,1
4108,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,PENS CONCEDED,2
4109,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,PENS CONCEDED,1
4110,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,PENS CONCEDED,0
4111,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,PENS CONCEDED,1
4112,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,PENS CONCEDED,2
4113,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,PENS CONCEDED,0
4114,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,PENS CONCEDED,2
4115,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,PENS CONCEDED,0
4116,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,PENS CONCEDED,1
4117,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,PENS CONCEDED,1
4118,James Hume,Back,Ireland,Centre,23,1,Ulster,PENS CONCEDED,2
4119,James Lowe,Back,Ireland,Wing,29,10,Leinster,PENS CONCEDED,3
4120,James Ryan,Forward,Ireland,Lock,25,40,Leinster,PENS CONCEDED,2
4121,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,PENS CONCEDED,0
4122,Jamie George,Back,England,Hooker,31,61,Saracens,PENS CONCEDED,1
4123,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,PENS CONCEDED,0
4124,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,PENS CONCEDED,2
4125,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,PENS CONCEDED,1
4126,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,PENS CONCEDED,2
4127,Joe Launchbury,Forward,England,Lock,30,69,Wasps,PENS CONCEDED,0
4128,Joe Marchant,Back,England,Centre,25,7,Harlequins,PENS CONCEDED,2
4129,Joe Marler,Forward,England,Prop,31,74,Harlequins,PENS CONCEDED,3
4130,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,PENS CONCEDED,1
4131,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,PENS CONCEDED,2
4132,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,PENS CONCEDED,3
4133,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,PENS CONCEDED,0
4134,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,PENS CONCEDED,0
4135,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,PENS CONCEDED,2
4136,Josh Adams,Back,Wales,Wing,26,35, Cardiff,PENS CONCEDED,7
4137,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,PENS CONCEDED,0
4138,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,PENS CONCEDED,0
4139,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,PENS CONCEDED,3
4140,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,PENS CONCEDED,2
