,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
135,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,MINUTES PLAYED,65
136,Monty Ioane,Back,Italy,Wing,27,9, Benetton,MINUTES PLAYED,400
137,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,MINUTES PLAYED,0
138,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,MINUTES PLAYED,280
139,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,MINUTES PLAYED,43
140,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,MINUTES PLAYED,204
141,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,MINUTES PLAYED,261
142,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,MINUTES PLAYED,19
143,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,MINUTES PLAYED,33
144,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,MINUTES PLAYED,322
145,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,MINUTES PLAYED,397
146,Paul Willemse,Forward,France,Lock,29,19, Montpellier,MINUTES PLAYED,292
147,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,MINUTES PLAYED,132
148,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,MINUTES PLAYED,202
149,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,MINUTES PLAYED,65
150,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,MINUTES PLAYED,284
151,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,MINUTES PLAYED,184
152,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,MINUTES PLAYED,56
153,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,MINUTES PLAYED,122
154,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,MINUTES PLAYED,400
155,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,MINUTES PLAYED,108
156,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,MINUTES PLAYED,88
157,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,MINUTES PLAYED,258
158,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,MINUTES PLAYED,69
159,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,MINUTES PLAYED,206
160,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,MINUTES PLAYED,94
161,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,MINUTES PLAYED,239
162,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,MINUTES PLAYED,196
163,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,MINUTES PLAYED,299
164,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,MINUTES PLAYED,282
165,Sam Underhill,Forward,England,Back row,25,27,Bath,MINUTES PLAYED,65
166,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,MINUTES PLAYED,125
167,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,MINUTES PLAYED,85
168,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,MINUTES PLAYED,175
169,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,MINUTES PLAYED,170
170,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,MINUTES PLAYED,400
171,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,MINUTES PLAYED,149
172,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,MINUTES PLAYED,381
173,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,MINUTES PLAYED,327
174,Taine Basham,Forward,Wales,Back row,22,7, Dragons,MINUTES PLAYED,215
175,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,MINUTES PLAYED,240
176,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,MINUTES PLAYED,77
177,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,MINUTES PLAYED,18
178,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,MINUTES PLAYED,159
179,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,MINUTES PLAYED,257
180,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,MINUTES PLAYED,199
181,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,MINUTES PLAYED,217
182,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,MINUTES PLAYED,57
183,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,MINUTES PLAYED,215
184,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,MINUTES PLAYED,46
185,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,MINUTES PLAYED,247
186,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,MINUTES PLAYED,329
187,Will Stuart,Forward,England,Prop,25,15,Bath,MINUTES PLAYED,160
188,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,MINUTES PLAYED,144
189,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,MINUTES PLAYED,208
190,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,MINUTES PLAYED,263
191,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,MINUTES PLAYED,256
192,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,TRIES,0
193,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,TRIES,0
194,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,TRIES,0
195,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,TRIES,0
196,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,TRIES,0
197,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,TRIES,1
198,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,TRIES,0
199,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,TRIES,0
200,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,TRIES,0
201,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,TRIES,0
202,Andrew Conway,Back,Ireland,Wing,30,27,Munster,TRIES,2
203,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,TRIES,0
204,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,TRIES,0
205,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,TRIES,2
206,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,TRIES,2
207,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,TRIES,2
208,Ben Carter,Forward,Wales,Lock,21,5, Dragons,TRIES,0
209,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,TRIES,0
210,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,TRIES,1
211,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,TRIES,0
212,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,TRIES,0
213,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,TRIES,0
214,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,TRIES,0
215,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,TRIES,1
216,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,TRIES,0
217,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,TRIES,1
218,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,TRIES,0
219,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,TRIES,0
220,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,TRIES,0
221,Charlie Ewels,Forward,England,Lock,26,26,Bath,TRIES,0
222,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,TRIES,0
223,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,TRIES,2
224,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,TRIES,1
225,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,TRIES,1
226,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,TRIES,0
227,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,TRIES,0
228,Cyril Baille,Forward,France,Prop,28,31, Toulouse,TRIES,1
229,Damian Penaud,Back,France,Wing,25,28, Clermont,TRIES,3
230,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,TRIES,0
231,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,TRIES,1
232,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,TRIES,0
233,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,TRIES,2
234,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,TRIES,0
235,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,TRIES,0
236,Demba Bamba,Forward,France,Prop,23,20, Lyon,TRIES,0
237,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,TRIES,1
238,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,TRIES,0
239,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,TRIES,1
240,Dylan Cretin,Forward,France,Back row,24,13, Lyon,TRIES,0
241,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,TRIES,1
242,Elliot Daly,Back,England,Wing,29,52,Saracens,TRIES,1
243,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,TRIES,0
244,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,TRIES,0
245,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,TRIES,0
246,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,TRIES,0
247,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,TRIES,1
248,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,TRIES,0
249,Francois Cros,Forward,France,Back row,27,11, Toulouse,TRIES,1
250,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,TRIES,0
251,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,TRIES,1
252,Gabin Villiere,Back,France,Wing,26,8, Toulon,TRIES,3
253,Gael Fickou,Back,France,Centre,27,66, Racing 92,TRIES,2
254,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,TRIES,0
255,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,TRIES,0
256,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,TRIES,0
257,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,TRIES,1
258,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,TRIES,0
259,George Furbank,Back,England,Fullback,25,5,Northampton Saints,TRIES,0
260,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,TRIES,0
261,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,TRIES,0
262,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,TRIES,0
263,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,TRIES,0
264,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,TRIES,0
265,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,TRIES,0
266,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,TRIES,0
267,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,TRIES,0
268,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,TRIES,0
269,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,TRIES,0
270,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,TRIES,0
271,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,TRIES,1
272,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,TRIES,0
273,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,TRIES,0
274,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,TRIES,0
275,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,TRIES,0
276,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,TRIES,1
277,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,TRIES,0
278,James Hume,Back,Ireland,Centre,23,1,Ulster,TRIES,0
279,James Lowe,Back,Ireland,Wing,29,10,Leinster,TRIES,3
280,James Ryan,Forward,Ireland,Lock,25,40,Leinster,TRIES,0
281,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,TRIES,0
282,Jamie George,Back,England,Hooker,31,61,Saracens,TRIES,2
