,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value,norm_value,stat_category
2814,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,TURNOVERS WON,0,0.0,Defence
2815,Maro Itoje,Forward,England,Lock,27,51,Saracens,TURNOVERS WON,6,1.0,Defence
2816,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,TURNOVERS WON,4,0.6666666666666666,Defence
2817,Matthis Lebel,Back,France,Wing,22,1, Toulouse,TURNOVERS WON,0,0.0,Defence
2818,Max Malins,Back,England,Fullback,25,10,Saracens,TURNOVERS WON,0,0.0,Defence
2819,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,TURNOVERS WON,0,0.0,Defence
2820,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,TURNOVERS WON,0,0.0,Defence
2821,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,TURNOVERS WON,0,0.0,Defence
2822,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,TURNOVERS WON,2,0.3333333333333333,Defence
2823,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,TURNOVERS WON,0,0.0,Defence
2824,Monty Ioane,Back,Italy,Wing,27,9, Benetton,TURNOVERS WON,0,0.0,Defence
2825,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,TURNOVERS WON,0,0.0,Defence
2826,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,TURNOVERS WON,0,0.0,Defence
2827,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,TURNOVERS WON,0,0.0,Defence
2828,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,TURNOVERS WON,0,0.0,Defence
2829,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,TURNOVERS WON,1,0.16666666666666666,Defence
2830,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,TURNOVERS WON,0,0.0,Defence
2831,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,TURNOVERS WON,1,0.16666666666666666,Defence
2832,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,TURNOVERS WON,0,0.0,Defence
2833,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,TURNOVERS WON,1,0.16666666666666666,Defence
2834,Paul Willemse,Forward,France,Lock,29,19, Montpellier,TURNOVERS WON,2,0.3333333333333333,Defence
2835,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,TURNOVERS WON,1,0.16666666666666666,Defence
2836,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,TURNOVERS WON,2,0.3333333333333333,Defence
2837,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,TURNOVERS WON,0,0.0,Defence
2838,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,TURNOVERS WON,1,0.16666666666666666,Defence
2839,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,TURNOVERS WON,0,0.0,Defence
2840,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,TURNOVERS WON,0,0.0,Defence
2841,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,TURNOVERS WON,0,0.0,Defence
2842,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,TURNOVERS WON,2,0.3333333333333333,Defence
2843,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,TURNOVERS WON,0,0.0,Defence
2844,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,TURNOVERS WON,0,0.0,Defence
2845,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,TURNOVERS WON,5,0.8333333333333334,Defence
2846,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,TURNOVERS WON,1,0.16666666666666666,Defence
2847,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,TURNOVERS WON,0,0.0,Defence
2848,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,TURNOVERS WON,1,0.16666666666666666,Defence
2849,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,TURNOVERS WON,1,0.16666666666666666,Defence
2850,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,TURNOVERS WON,0,0.0,Defence
2851,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,TURNOVERS WON,1,0.16666666666666666,Defence
2852,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,TURNOVERS WON,4,0.6666666666666666,Defence
2853,Sam Underhill,Forward,England,Back row,25,27,Bath,TURNOVERS WON,1,0.16666666666666666,Defence
2854,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,TURNOVERS WON,0,0.0,Defence
2855,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,TURNOVERS WON,0,0.0,Defence
2856,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,TURNOVERS WON,0,0.0,Defence
2857,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,TURNOVERS WON,0,0.0,Defence
2858,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,TURNOVERS WON,0,0.0,Defence
2859,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,TURNOVERS WON,1,0.16666666666666666,Defence
2860,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,TURNOVERS WON,5,0.8333333333333334,Defence
2861,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,TURNOVERS WON,1,0.16666666666666666,Defence
2862,Taine Basham,Forward,Wales,Back row,22,7, Dragons,TURNOVERS WON,1,0.16666666666666666,Defence
2863,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,TURNOVERS WON,1,0.16666666666666666,Defence
2864,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,TURNOVERS WON,0,0.0,Defence
2865,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,TURNOVERS WON,0,0.0,Defence
2866,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,TURNOVERS WON,0,0.0,Defence
2867,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,TURNOVERS WON,6,1.0,Defence
2868,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,TURNOVERS WON,1,0.16666666666666666,Defence
2869,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,TURNOVERS WON,0,0.0,Defence
2870,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,TURNOVERS WON,0,0.0,Defence
2871,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,TURNOVERS WON,0,0.0,Defence
2872,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,TURNOVERS WON,0,0.0,Defence
2873,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,TURNOVERS WON,0,0.0,Defence
2874,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,TURNOVERS WON,4,0.6666666666666666,Defence
2875,Will Stuart,Forward,England,Prop,25,15,Bath,TURNOVERS WON,1,0.16666666666666666,Defence
2876,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,TURNOVERS WON,0,0.0,Defence
2877,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,TURNOVERS WON,1,0.16666666666666666,Defence
2878,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,TURNOVERS WON,0,0.0,Defence
2879,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,TURNOVERS WON,0,0.0,Defence
2880,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2881,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2882,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2883,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2884,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2885,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2886,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,TURNOVERS CONCEDED,6,0.75,Attacking Errors
2887,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2888,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2889,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2890,Andrew Conway,Back,Ireland,Wing,30,27,Munster,TURNOVERS CONCEDED,6,0.75,Attacking Errors
2891,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2892,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2893,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2894,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2895,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,TURNOVERS CONCEDED,5,0.625,Attacking Errors
2896,Ben Carter,Forward,Wales,Lock,21,5, Dragons,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2897,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2898,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2899,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2900,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2901,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2902,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2903,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2904,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,TURNOVERS CONCEDED,7,0.875,Attacking Errors
2905,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2906,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2907,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2908,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2909,Charlie Ewels,Forward,England,Lock,26,26,Bath,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2910,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2911,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,TURNOVERS CONCEDED,4,0.5,Attacking Errors
2912,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2913,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2914,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2915,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2916,Cyril Baille,Forward,France,Prop,28,31, Toulouse,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2917,Damian Penaud,Back,France,Wing,25,28, Clermont,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2918,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2919,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2920,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2921,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2922,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2923,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2924,Demba Bamba,Forward,France,Prop,23,20, Lyon,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2925,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,TURNOVERS CONCEDED,5,0.625,Attacking Errors
2926,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2927,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,TURNOVERS CONCEDED,4,0.5,Attacking Errors
2928,Dylan Cretin,Forward,France,Back row,24,13, Lyon,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2929,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,TURNOVERS CONCEDED,4,0.5,Attacking Errors
2930,Elliot Daly,Back,England,Wing,29,52,Saracens,TURNOVERS CONCEDED,4,0.5,Attacking Errors
2931,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2932,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2933,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2934,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,TURNOVERS CONCEDED,4,0.5,Attacking Errors
2935,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2936,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2937,Francois Cros,Forward,France,Back row,27,11, Toulouse,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2938,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2939,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,TURNOVERS CONCEDED,5,0.625,Attacking Errors
2940,Gabin Villiere,Back,France,Wing,26,8, Toulon,TURNOVERS CONCEDED,5,0.625,Attacking Errors
2941,Gael Fickou,Back,France,Centre,27,66, Racing 92,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2942,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2943,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2944,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2945,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,TURNOVERS CONCEDED,6,0.75,Attacking Errors
2946,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2947,George Furbank,Back,England,Fullback,25,5,Northampton Saints,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2948,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2949,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2950,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2951,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2952,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2953,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2954,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,TURNOVERS CONCEDED,4,0.5,Attacking Errors
2955,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2956,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2957,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2958,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2959,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,TURNOVERS CONCEDED,7,0.875,Attacking Errors
2960,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2961,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2962,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2963,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2964,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2965,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2966,James Hume,Back,Ireland,Centre,23,1,Ulster,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2967,James Lowe,Back,Ireland,Wing,29,10,Leinster,TURNOVERS CONCEDED,5,0.625,Attacking Errors
2968,James Ryan,Forward,Ireland,Lock,25,40,Leinster,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2969,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2970,Jamie George,Back,England,Hooker,31,61,Saracens,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2971,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2972,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2973,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2974,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2975,Joe Launchbury,Forward,England,Lock,30,69,Wasps,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2976,Joe Marchant,Back,England,Centre,25,7,Harlequins,TURNOVERS CONCEDED,4,0.5,Attacking Errors
2977,Joe Marler,Forward,England,Prop,31,74,Harlequins,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2978,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2979,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2980,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2981,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,TURNOVERS CONCEDED,6,0.75,Attacking Errors
2982,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2983,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2984,Josh Adams,Back,Wales,Wing,26,35, Cardiff,TURNOVERS CONCEDED,4,0.5,Attacking Errors
2985,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2986,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2987,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,TURNOVERS CONCEDED,5,0.625,Attacking Errors
2988,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2989,Julien Marchand,Back,France,Hooker,26,16, Toulouse,TURNOVERS CONCEDED,3,0.375,Attacking Errors
2990,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,TURNOVERS CONCEDED,2,0.25,Attacking Errors
2991,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2992,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,TURNOVERS CONCEDED,1,0.125,Attacking Errors
2993,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,TURNOVERS CONCEDED,5,0.625,Attacking Errors
2994,Leon Brown,Forward,Wales,Prop,25,16, Dragons,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2995,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,TURNOVERS CONCEDED,5,0.625,Attacking Errors
2996,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,TURNOVERS CONCEDED,0,0.0,Attacking Errors
2997,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,TURNOVERS CONCEDED,6,0.75,Attacking Errors
2998,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,TURNOVERS CONCEDED,5,0.625,Attacking Errors
2999,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3000,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,TURNOVERS CONCEDED,6,0.75,Attacking Errors
3001,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,TURNOVERS CONCEDED,3,0.375,Attacking Errors
3002,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3003,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3004,Marco Zanon,Back,Italy,Centre,24,7, Benetton,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3005,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,TURNOVERS CONCEDED,1,0.125,Attacking Errors
3006,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,TURNOVERS CONCEDED,1,0.125,Attacking Errors
3007,Maro Itoje,Forward,England,Lock,27,51,Saracens,TURNOVERS CONCEDED,4,0.5,Attacking Errors
3008,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3009,Matthis Lebel,Back,France,Wing,22,1, Toulouse,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3010,Max Malins,Back,England,Fullback,25,10,Saracens,TURNOVERS CONCEDED,7,0.875,Attacking Errors
3011,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3012,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,TURNOVERS CONCEDED,7,0.875,Attacking Errors
3013,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3014,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3015,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3016,Monty Ioane,Back,Italy,Wing,27,9, Benetton,TURNOVERS CONCEDED,6,0.75,Attacking Errors
3017,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3018,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3019,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3020,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3021,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3022,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3023,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3024,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3025,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,TURNOVERS CONCEDED,6,0.75,Attacking Errors
3026,Paul Willemse,Forward,France,Lock,29,19, Montpellier,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3027,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,TURNOVERS CONCEDED,1,0.125,Attacking Errors
3028,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3029,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3030,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,TURNOVERS CONCEDED,1,0.125,Attacking Errors
3031,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3032,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,TURNOVERS CONCEDED,1,0.125,Attacking Errors
3033,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3034,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,TURNOVERS CONCEDED,6,0.75,Attacking Errors
3035,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3036,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,TURNOVERS CONCEDED,1,0.125,Attacking Errors
3037,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,TURNOVERS CONCEDED,3,0.375,Attacking Errors
3038,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,TURNOVERS CONCEDED,0,0.0,Attacking Errors
3039,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,TURNOVERS CONCEDED,4,0.5,Attacking Errors
3040,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,TURNOVERS CONCEDED,1,0.125,Attacking Errors
3041,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,TURNOVERS CONCEDED,2,0.25,Attacking Errors
3042,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,TURNOVERS CONCEDED,3,0.375,Attacking Errors
3043,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,TURNOVERS CONCEDED,1,0.125,Attacking Errors
3044,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,TURNOVERS CONCEDED,0,0.0,Attacking Errors
