,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value,norm_value,stat_category
185,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,TRIES,0,0.0,Attack
186,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,TRIES,0,0.0,Attack
187,Will Stuart,Forward,England,Prop,25,15,Bath,TRIES,0,0.0,Attack
188,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,TRIES,0,0.0,Attack
189,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,TRIES,0,0.0,Attack
190,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,TRIES,1,0.3333333333333333,Attack
191,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,TRIES,0,0.0,Attack
192,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,TRY ASSISTS,0,0.0,Attack
193,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,TRY ASSISTS,0,0.0,Attack
194,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,TRY ASSISTS,0,0.0,Attack
195,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,TRY ASSISTS,1,0.25,Attack
196,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,TRY ASSISTS,0,0.0,Attack
197,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,TRY ASSISTS,0,0.0,Attack
198,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,TRY ASSISTS,2,0.5,Attack
199,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,TRY ASSISTS,0,0.0,Attack
200,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,TRY ASSISTS,0,0.0,Attack
201,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,TRY ASSISTS,0,0.0,Attack
202,Andrew Conway,Back,Ireland,Wing,30,27,Munster,TRY ASSISTS,0,0.0,Attack
203,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,TRY ASSISTS,0,0.0,Attack
204,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,TRY ASSISTS,0,0.0,Attack
205,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,TRY ASSISTS,1,0.25,Attack
206,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,TRY ASSISTS,0,0.0,Attack
207,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,TRY ASSISTS,2,0.5,Attack
208,Ben Carter,Forward,Wales,Lock,21,5, Dragons,TRY ASSISTS,0,0.0,Attack
209,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,TRY ASSISTS,0,0.0,Attack
210,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,TRY ASSISTS,0,0.0,Attack
211,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,TRY ASSISTS,1,0.25,Attack
212,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,TRY ASSISTS,1,0.25,Attack
213,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,TRY ASSISTS,0,0.0,Attack
