,PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARDS,TEAM,POSITION,CAPS,CLUB/PROVINCE,AGE,FORWARD/BACK
72,Giovanni Pettinelli,264,0,0,0,0,0,172,28,0,39,14,3,3,1,37,3,3,4,1,1,2,1,0,0,4,2,0,0,Italy,Back row,1, Benetton,25,Forward
73,Grant Gilchrist,352,0,0,0,0,0,97,25,0,40,16,2,1,2,53,1,3,2,1,2,6,5,0,0,11,1,0,0,Scotland,Lock,48, Edinburgh,31,Forward
74,Gregory Alldritt,374,0,2,0,0,0,318,65,0,86,28,7,7,2,53,7,2,6,2,4,6,6,0,0,6,0,0,0,France,Back row,26, La Rochelle,24,Forward
75,Hame Faiva,69,0,0,0,0,0,25,6,0,7,1,0,1,0,16,0,3,0,0,1,0,1,0,0,0,0,0,1,Italy,Hooker,1, Benetton /  Rovigo Delta,27,Back
76,Hamish Watson,320,0,0,0,0,0,215,34,0,44,13,3,8,1,70,0,1,1,1,2,2,2,0,0,0,0,0,0,Scotland,Back row,45, Edinburgh,30,Forward
77,Harry Randall,182,0,0,0,0,0,95,16,577,175,162,3,5,0,10,2,0,0,0,1,3,1,1,0,0,0,0,0,England,Scrum-half,2,Bristol Bears,24,Back
78,Henry Slade,400,0,0,0,0,0,217,31,406,83,53,1,5,0,29,6,0,0,0,3,4,0,0,0,0,0,0,0,England,Centre,43,Exeter Chiefs,28,Back
79,Hugo Keenan,313,1,0,0,0,0,389,47,337,73,29,3,7,2,11,5,0,0,2,7,2,1,0,0,0,0,0,0,Ireland,Fullback,16,Leinster,25,Back
80,Iain Henderson,163,0,0,0,0,0,84,19,0,33,16,2,1,1,19,1,0,1,3,3,5,2,0,0,12,1,0,0,Ireland,Lock,65,Ulster,29,Forward
81,Ivan Nemer,119,0,0,0,0,0,27,6,0,12,6,0,2,0,26,2,0,0,1,1,1,0,0,0,0,0,0,0,Italy,Prop,3, Benetton,23,Forward
